gene_name;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
RPS27;6,19396610515792e-21;-0,510559803292321;1,000;1,000;1,11640045079366e-16
TMEM161B-AS1;6,50080839111287e-21;0,564312022397645;0,637;0,351;1,17170570441418e-16
SYT1;7,86594496997464e-21;0,529579861547362;0,540;0,230;1,41775792138823e-16
ATXN10;7,97452191943234e-21;0,519797072730071;0,783;0,541;1,43732783075849e-16
CHL1;1,13909152918663e-20;0,551843444458221;0,754;0,527;2,05309857220599e-16
MAP6;1,23381953309989e-20;0,558041379241336;0,749;0,520;2,22383632645924e-16
OAZ1;1,27163523783771e-20;0,425163239232712;0,972;0,939;2,29199535267869e-16
POSTN;1,29143283321203e-20;-0,525336198539772;0,439;0,733;2,32767853858136e-16
SKP1;1,39146051203008e-20;0,448873631949070;0,986;0,943;2,50796842688301e-16
HMGCR;1,44441511996648e-20;0,626411641440873;0,616;0,368;2,60341381222759e-16
APC2;1,64014717055420e-20;0,559228179867757;0,748;0,547;2,95620126020689e-16
ATP2A2;2,52098775111645e-20;0,454063281896179;0,867;0,666;4,54382832261229e-16
NDUFB2;2,62398483144277e-20;0,475045517486199;0,904;0,740;4,72947026019245e-16
ACAT2;4,47252041122907e-20;0,565670784621857;0,506;0,223;8,06127078919927e-16
H3F3B;4,84794498959350e-20;0,412565779565591;1,000;0,973;8,73793604924333e-16
CKB;9,00820694704131e-20;0,447352532820533;0,994;0,959;1,62363922013473e-15
UQCRQ;9,28086116825660e-20;0,430737605989338;0,987;0,949;1,67278241696657e-15
VDAC3;9,40017611237705e-20;0,514690446040755;0,691;0,429;1,69428774249484e-15
MAPT;9,62163737477218e-20;0,679018313427427;0,634;0,355;1,73420392042894e-15
SNCA;1,04724584551420e-19;0,654999520330326;0,546;0,267;1,88755591195480e-15
ATP6V0E2;1,08962889149569e-19;0,562601719586820;0,739;0,517;1,96394711403183e-15
ZIC1;1,23931064495141e-19;0,599671969548836;0,796;0,547;2,23373350646042e-15
PCBP4;1,30668216145087e-19;0,523431311747989;0,637;0,348;2,35516392779904e-15
CAMK2N2;1,31927896155278e-19;0,619314902039340;0,615;0,341;2,37786840030274e-15
HOXB5;1,75699674169399e-19;0,547459964762439;0,641;0,355;3,16681092722925e-15
TCEAL7;2,02389850349423e-19;0,475176143140767;0,477;0,186;3,64787466269800e-15
FYN;2,23808196433340e-19;0,491520232280228;0,685;0,416;4,03391893251452e-15
PARP6;2,55267976862451e-19;0,487149953852307;0,628;0,324;4,60095001496882e-15
"NAP1L3";2,67892201692090e-19;0,591793969382810;0,582;0,318;4,82848904329824e-15
C1QL1;2,76274384389836e-19;-0,496590176130288;0,613;0,848;4,97956950424240e-15
CDKN2D;2,81002411993281e-19;0,645674016093357;0,661;0,399;5,06478747376690e-15
VSNL1;3,40319176656509e-19;0,678063915020448;0,553;0,280;6,13391284005691e-15
UBC;4,48918595144445e-19;0,374572202202362;0,999;0,993;8,09130875888348e-15
SLIT1;4,56748511195805e-19;0,548041874298365;0,761;0,534;8,23243516579318e-15
KIF3C;6,99387107374138e-19;0,604259652867267;0,628;0,385;1,26057532233115e-14
SV2A;7,05137688698550e-19;0,572663988042823;0,614;0,328;1,27094017011027e-14
KIF21B;7,83530904890460e-19;0,570133498394478;0,544;0,257;1,41223610297457e-14
YWHAE;9,34718111064168e-19;0,393926160255075;0,974;0,953;1,68473592338206e-14
MALAT1;1,02491421631908e-18;-0,536578790070204;0,882;0,956;1,84730538349350e-14
SBK1;1,17191966480902e-18;0,618046513577529;0,558;0,297;2,11226800385178e-14
ATP5F1A;1,19615185860371e-18;0,424132615770248;0,964;0,882;2,15594410994733e-14
HINT1;1,24895877112858e-18;0,365736107747150;0,993;0,959;2,25112328908216e-14
PRDX2;1,26211280547099e-18;0,464754565874603;0,933;0,807;2,27483212058091e-14
PAFAH1B1;1,41631162620453e-18;0,493675691895994;0,776;0,557;2,55276007507105e-14
TAC1;1,76524076216454e-18;0,545078156370924;0,418;0,149;3,18166994972537e-14
TRIB2;1,94337204175148e-18;0,597511686064820;0,612;0,361;3,50273376805287e-14
CDC42;2,06746158410292e-18;0,475043255465927;0,892;0,777;3,72639275918711e-14
GSTA4;2,18656981670037e-18;0,485980154718286;0,719;0,470;3,94107343762075e-14
ACOT7;3,02700671454885e-18;0,563465051196358;0,710;0,490;5,45587690230285e-14
COX7B;3,89028826406274e-18;0,422522511909531;0,923;0,821;7,01185556714669e-14
LDHA;4,11732285140557e-18;-0,652181786347218;0,381;0,635;7,42106270737340e-14
ATP5MF;4,22078369906313e-18;0,417615696758079;0,953;0,916;7,60754053919139e-14
RMST;4,50601910500428e-18;-0,745904232526072;0,582;0,791;8,12164883485972e-14
MAPRE2;4,80784229981533e-18;0,521374759345969;0,541;0,270;8,66565496118715e-14
RPAIN;5,57972996515809e-18;0,479554583651342;0,644;0,382;1,00569052892009e-13
TTC3;6,94929499810432e-18;0,423283610399310;0,957;0,872;1,25254093045832e-13
PENK;9,05137960708936e-18;-1,198590894134663;0,242;0,463;1,63142066038179e-13
KIFC2;9,17256305731041e-18;0,521112996409228;0,626;0,365;1,65326276544963e-13
OLFM1;9,94242097386287e-18;0,592147671284077;0,776;0,500;1,79202195632904e-13
PPP3CB;1,26104682782245e-17;0,492878144874227;0,685;0,436;2,27291080246719e-13
