gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CALM2,1.7746329880490263e-17,0.5669173424358807,0.999,0.99,3.191677429006174e-13
STMN2,1.974902269560802e-17,0.8643695484944671,0.927,0.861,3.551861731805102e-13
ANK2,1.976699232257502e-17,0.50950379185508,0.914,0.76,3.555093569215117e-13
ATP5F1B,2.4003435177156958e-17,0.4741713603043085,0.974,0.933,4.3170178166116787e-13
SOX11,2.4104400771072748e-17,0.5564624736890431,0.729,0.452,4.3351764786774337e-13
COX7A2,3.0352017544743177e-17,0.45757608773626535,0.986,0.971,5.458810355422061e-13
CLSTN1,3.2462121767040485e-17,0.5169502159204622,0.926,0.774,5.838312599802231e-13
WSB2,3.4430261492595573e-17,0.594573958306269,0.669,0.385,6.192282529443314e-13
DYNC1H1,3.743900574171081e-17,0.54119815216477285,0.869,0.668,6.73340518264669e-13
SCG2,4.0765948495416076e-17,-0.5902196223323832,0.521,0.779,7.331755836900581e-13
MAP4,5.3097719888357243e-17,0.49839399315168986,0.763,0.481,9.549624921921051e-13
RUFY3,5.897759876826919e-17,0.5332699440386616,0.767,0.486,1.0607121138473214e-12
MALAT1,6.309925855582066e-17,-0.5535938780084524,0.883,0.99,1.1348401651264345e-12
DPYSL2,7.265107419361353e-17,0.5555085219376852,0.981,0.957,1.3066295693721392e-12
PPIA,8.123187224321467e-17,0.4278217242301463,0.998,0.99,1.4609552222942158e-12
FDPS,1.3129845014366076e-16,0.5244885023061503,0.717,0.438,2.3614026258337386e-12
DST,1.4016281905503016e-16,0.5964733033015558,0.794,0.505,2.520828300704717e-12
MLLT11,1.6255341929636151e-16,0.6278084366957482,0.887,0.774,2.923523246045062e-12
CLASP2,1.771756480557094e-16,0.576015959049264,0.707,0.447,3.1865040302819332e-12
SNN,1.8405547587375526e-16,0.5301144876947301,0.597,0.293,3.3102377335894885e-12
NSG2,1.8915597037918854e-16,0.7788396534829864,0.837,0.635,3.401970127269706e-12
SPTAN1,2.0278968564641362e-16,0.546836041642238,0.966,0.909,3.647172496350749e-12
PAMR1,2.2776453940668144e-16,-0.5894933420730638,0.293,0.587,4.096345241229166e-12
USP22,2.36330943199004e-16,0.49574389252337725,0.935,0.812,4.250412013434087e-12
YWHAE,2.852754003819556e-16,0.4220615116371915,0.974,0.947,5.130678075869472e-12
SST,3.027673053838482e-16,0.6452634841962014,0.337,0.053,5.44526998732851e-12
TSPAN7,3.057833781420211e-16,0.7000936678861636,0.782,0.524,5.49951405588425e-12
BLCAP,4.3534346975258315e-16,0.5207750254812968,0.86,0.668,7.829652303500208e-12
ATP5F1A,5.959368819090391e-16,0.42940691189084546,0.963,0.904,1.0717924821134068e-11
RTN1,6.832535354650697e-16,0.7004433883036922,0.948,0.909,1.2288314835339277e-11
HSBP1,7.664075871652149e-16,0.40291756192867667,0.965,0.923,1.3783840455166391e-11
SARAF,7.974766955224659e-16,0.5036784919847968,0.959,0.918,1.4342618368971549e-11
HNRNPA2B1,8.064310896821225e-16,0.4509363476495163,0.987,0.962,1.4503663147932972e-11
MAP1B,9.141647775555618e-16,0.511341937955772,0.998,1,1.6441253524336778e-11
STXBP1,9.776128652856728e-16,0.7161026571508573,0.773,0.572,1.7582367382162825e-11
HOXB9,1.0119493995917297e-15,0.5899585906272977,0.581,0.284,1.8199909951657257e-11
SELENOW,1.0412538180816356e-15,0.42247193220595314,0.993,0.986,1.8726949918198216e-11
PIP4K2B,1.1016198226532244e-15,0.5452891014915675,0.704,0.447,1.981263251041824e-11
HES4,1.1260190777281282e-15,0.5055718985175827,0.527,0.226,2.0251453112940384e-11
CAMK2N1,1.4586879744779737e-15,0.6069504565945139,0.757,0.534,2.6234503220986355e-11
C1QL1,1.94755118517616e-15,-0.5074625449690957,0.616,0.856,3.502670806539324e-11
PCBP4,2.147802510339734e-15,0.5135532399199124,0.64,0.332,3.862822814846011e-11
GAP43,2.4180300122921663e-15,0.7274091372624165,0.907,0.755,4.348826977107461e-11
APC2,2.6771954801856795e-15,0.5439721730195763,0.746,0.534,4.8149360711139447e-11
HS6ST1,3.3433560023903376e-15,0.5003832366501187,0.594,0.288,6.013025770299023e-11
VDAC3,3.507759397902403e-15,0.5035814638125127,0.689,0.413,6.308705277127471e-11
PKIA,3.562431072355936e-15,0.5849955515403635,0.837,0.673,6.407032283632151e-11
PSAP,3.694942119075486e-15,0.5025534867338863,1,0.981,6.645353401157262e-11
LMO3,3.738599635486087e-15,0.45898836828306677,0.439,0.144,6.723871444421728e-11
FHL1,3.964754189263825e-15,0.48904529466071933,0.842,0.639,7.130610409390989e-11
MT-CYB,4.432983040108992e-15,-0.7148417870650627,1,1,7.972719997636023e-11
ATXN10,4.450737334679602e-15,0.4940490095482639,0.784,0.534,8.004651096421263e-11
FASN,4.666605695612109e-15,0.5539354161438371,0.764,0.524,8.392890343558378e-11
ABAT,6.0788960159663966e-15,0.5004664264330104,0.581,0.284,1.0932894484715564e-10
STMN4,6.211957585851226e-15,0.6144092052799182,0.757,0.495,1.117220571815343e-10
VCP,6.406376886711606e-15,0.42875943542759765,0.746,0.462,1.1521868830750824e-10
CHD3,6.4393458466876945e-15,0.5109592776999854,0.667,0.399,1.1581163505267819e-10
UQCRQ,6.767582331706495e-15,0.41295484696724416,0.987,0.962,1.2171496823574132e-10
SRP9,7.937377993470452e-15,0.4560027396667614,0.843,0.606,1.4275374321256608e-10
COX5B,8.127838670839334e-15,0.4357050233174591,0.931,0.841,1.4617917849504543e-10
OCIAD1,8.364116733298547e-15,0.4892731992583568,0.912,0.812,1.5042863944837435e-10
PAK3,8.47186293619428e-15,0.6681511093178298,0.547,0.293,1.5236645490745412e-10
RBM3,9.731786455722664e-15,0.47028525502760354,0.708,0.428,1.750261794061721e-10
ENAH,1.0562123273994863e-14,0.46182814282060747,0.645,0.351,1.8995978708279762e-10
PEG10,1.280166739900064e-14,0.5667461790855057,0.892,0.851,2.3023798817102652e-10
VSTM2L,1.3534549220937998e-14,0.6173837249776508,0.578,0.327,2.434188677385699e-10
ACAT2,1.5526488357926633e-14,0.5368161969654632,0.502,0.221,2.792438931173105e-10
SLC38A1,1.5926646811725602e-14,0.5258400944459702,0.558,0.284,2.8644074290888494e-10
BEX2,1.7263312366956583e-14,0.5417337008235767,0.796,0.572,3.104806729197141e-10
YWHAG,1.8628556330033806e-14,0.5737251304562234,0.889,0.808,3.35034585595658e-10
FYN,2.0725456289595232e-14,0.4676847809003154,0.686,0.404,3.727473313683702e-10
ATP6AP2,2.2917391012907552e-14,0.463567320739127,0.747,0.51,4.121692773671423e-10
NES,2.3283332044067016e-14,0.5167873436933461,0.823,0.673,4.187507268125453e-10
INA,2.3793902926018314e-14,0.6863951717976613,0.81,0.606,4.279333441244394e-10
UBE2QL1,2.4483932212700155e-14,0.630717218683386,0.644,0.404,4.4034352084541226e-10
SNRNP200,2.5310027411904753e-14,0.4298912221832911,0.748,0.466,4.55200843003107e-10
QKI,2.7991395403471765e-14,0.5436409124369977,0.721,0.481,5.034252463314397e-10
EIF4A1,3.213132028445857e-14,0.41814534481798105,0.933,0.841,5.778817953159874e-10
HSPE1,3.545938146484005e-14,0.42525398729466857,0.872,0.673,6.377369756451482e-10
ATP5MD,3.549143426479606e-14,0.41942552821335766,0.975,0.933,6.383134452523572e-10
TMOD2,4.019399581169293e-14,0.5735488801771127,0.499,0.236,7.228890146732973e-10
LAMTOR5,4.023779881826494e-14,0.45872347727768437,0.761,0.49,7.236768117464949e-10
ATP9A,4.798600647996379e-14,0.5262371996951947,0.72,0.447,8.630283265421487e-10
DMD,5.0816904448359465e-14,-0.5453652481476899,0.303,0.538,9.139420265037449e-10
GNAS,5.205299380016017e-14,0.43575269444079323,1,1,9.361730934958807e-10
MAP7D1,5.4243418437749065e-14,0.4888560027213832,0.735,0.457,9.755678806029169e-10
STMN3,6.153413432050448e-14,0.5552686993873768,0.806,0.567,1.1066914057542731e-9
NDUFB2,6.31174597751487e-14,0.43255870061802426,0.906,0.75,1.1351675140560493e-9
TIMP2,6.558787195295946e-14,0.4566787185029959,0.943,0.851,1.179597877073976e-9
PACS2,7.71211916514563e-14,0.4682286427890978,0.688,0.423,1.3870246318514415e-9
SKP1,8.286374426984427e-14,0.40259048962669874,0.985,0.971,1.4903044406931493e-9
NRCAM,9.608711928250918e-14,0.5084136276235506,0.469,0.197,1.7281268402959277e-9
PGD,9.744919148025095e-14,0.4635877770994634,0.645,0.38,1.7526237087723133e-9
CRYAB,1.1251758263906898e-13,0.8087966487525196,0.551,0.298,2.0236287237636557e-9
LRIG1,1.784631926298089e-13,0.5003424888837835,0.45,0.183,3.2096605194471134e-9
NSG1,2.0229796971650614e-13,0.5940007975397004,0.88,0.673,3.638328985351363e-9
SEMA5B,2.1006076279168537e-13,0.4398935963508518,0.397,0.125,3.777942818808462e-9
PRRC2B,2.2155052659818216e-13,0.4271972692477969,0.792,0.577,3.984586220868306e-9
COX7B,2.2474558019863797e-13,0.40097391964079754,0.923,0.832,4.042049259872504e-9
HNRNPD,2.4943550346088175e-13,0.43713697881059055,0.756,0.505,4.486097529743958e-9
MAP6,2.7377734157996947e-13,0.4926061000851768,0.747,0.519,4.923885488315751e-9
FOS,2.900455687989728e-13,0.3828619982814699,0.238,0.014,5.216469554849526e-9
IGFBP5,3.4748105667771897e-13,0.5893200055936303,0.963,0.947,6.249446804348776e-9
OAZ1,3.7823721160749925e-13,0.37393330649107814,0.973,0.933,6.802596250760874e-9
GSTA4,3.7884236726564174e-13,0.4497907796209959,0.722,0.476,6.813479975272567e-9
KIF1A,3.868876190649145e-13,0.5241736676449447,0.782,0.558,6.958173828882488e-9
MORF4L2,4.912546673154927e-13,0.4203673002820023,0.893,0.808,8.835215191669137e-9
IFITM3,4.964562981201761e-13,-0.4507762407129525,0.373,0.639,8.928766521691367e-9
TTC3,5.238098617919976e-13,0.4016046658572019,0.956,0.87,9.420720364329078e-9
MT-ND5,5.35563122791179e-13,-0.6215686328003636,0.921,0.966,9.632102763399355e-9
