gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
KIF21B,7.835309048904602e-19,0.5701334983944784,0.544,0.257,1.4122361029745655e-14
YWHAE,9.347181110641685e-19,0.39392616025507543,0.974,0.953,1.6847359233820573e-14
MALAT1,1.0249142163190768e-18,-0.5365787900702039,0.882,0.956,1.8473053834935038e-14
SBK1,1.171919664809019e-18,0.6180465135775288,0.558,0.297,2.112268003851776e-14
ATP5F1A,1.1961518586037099e-18,0.4241326157702483,0.964,0.882,2.1559441099473266e-14
HINT1,1.2489587711285822e-18,0.3657361077471504,0.993,0.959,2.2511232890821565e-14
PRDX2,1.2621128054709878e-18,0.4647545658746033,0.933,0.807,2.2748321205809084e-14
PAFAH1B1,1.4163116262045323e-18,0.49367569189599414,0.776,0.557,2.552760075071049e-14
TAC1,1.765240762164542e-18,0.5450781563709236,0.418,0.149,3.1816699497253705e-14
TRIB2,1.9433720417514793e-18,0.5975116860648199,0.612,0.361,3.5027337680528666e-14
CDC42,2.067461584102923e-18,0.4750432554659265,0.892,0.777,3.726392759187109e-14
GSTA4,2.186569816700372e-18,0.4859801547182857,0.719,0.47,3.9410734376207507e-14
ACOT7,3.027006714548853e-18,0.5634650511963584,0.71,0.49,5.455876902302853e-14
COX7B,3.890288264062741e-18,0.4225225119095306,0.923,0.821,7.011855567146685e-14
LDHA,4.1173228514055685e-18,-0.6521817863472177,0.381,0.635,7.421062707373397e-14
ATP5MF,4.220783699063133e-18,0.41761569675807864,0.953,0.916,7.607540539191391e-14
RMST,4.5060191050042826e-18,-0.7459042325260716,0.582,0.791,8.121648834859719e-14
MAPRE2,4.8078422998153295e-18,0.5213747593459686,0.541,0.27,8.66565496118715e-14
RPAIN,5.579729965158088e-18,0.47955458365134196,0.644,0.382,1.0056905289200938e-13
TTC3,6.949294998104322e-18,0.4232836103993103,0.957,0.872,1.252540930458323e-13
PENK,9.051379607089359e-18,-1.1985908941346626,0.242,0.463,1.6314206603817861e-13
KIFC2,9.172563057310415e-18,0.5211129964092285,0.626,0.365,1.653262765449629e-13
OLFM1,9.942420973862874e-18,0.5921476712840767,0.776,0.5,1.7920219563290444e-13
PPP3CB,1.261046827822451e-17,0.49287814487422654,0.685,0.436,2.2729108024671855e-13
S100B,1.2778850189428858e-17,0.7000528163472646,0.465,0.203,2.303259958142657e-13
GFAP,1.390598832764883e-17,0.9985095355677074,0.934,0.858,2.5064153361754253e-13
PCP4,1.500026339352954e-17,0.6438866817266564,0.594,0.345,2.7036474740497643e-13
DCTN2,1.534610853307372e-17,0.47146879694118027,0.741,0.493,2.765982602001207e-13
EIF4A1,1.642455399889805e-17,0.4081237078096862,0.932,0.855,2.9603616127613845e-13
NDUFA13,1.6455145924091348e-17,0.40583139492457354,0.958,0.872,2.9658755013582246e-13
B4GALNT4,1.724918870348534e-17,0.4929820387670605,0.694,0.456,3.1089937719161974e-13
TMA7,1.8282141514365973e-17,0.36841195990544007,0.98,0.973,3.295173186549323e-13
DCTN3,1.8555733483161e-17,0.4603112374119279,0.703,0.429,3.3444854030049384e-13
RUNDC3A,2.327119478586364e-17,0.4538202105105439,0.458,0.186,4.1944001482040624e-13
MORF4L2,2.363086138129421e-17,0.429438464144702,0.894,0.777,4.2592264553644686e-13
TMSB15A,2.4507985253529386e-17,0.5149207406613219,0.56,0.287,4.4173192620961364e-13
PGD,2.4582848323345842e-17,0.46629036173705884,0.643,0.395,4.4308125817998547e-13
SCG3,2.4780393530398475e-17,0.466527903355102,0.433,0.169,4.466418129919021e-13
EIF4G2,2.5319500063159037e-17,0.3804992480575491,0.999,0.99,4.563586691383785e-13
CCND1,2.6515921401532148e-17,-0.5656238222395493,0.329,0.547,4.779229673412154e-13
HNRNPA2B1,3.6098540487355606e-17,0.41963588919700845,0.987,0.966,6.506400937440974e-13
PRRC2B,4.1350138150014147e-17,0.4315492107405092,0.791,0.578,7.45294890015855e-13
CACNA1E,4.219630178165408e-17,0.4793447218368923,0.493,0.23,7.605461433125331e-13
SNN,4.686327703867512e-17,0.47468436717310136,0.606,0.351,8.446637053450804e-13
SPOCK2,4.7023546371088516e-17,0.5644434812378549,0.55,0.294,8.475523997924994e-13
PEA15,4.729171710546393e-17,0.49949228136391777,0.887,0.686,8.523859091088819e-13
APBA2,4.7331931904261625e-17,0.4826233953347788,0.62,0.358,8.531107406424115e-13
REEP5,4.76162706991932e-17,0.4493887486154753,0.689,0.432,8.582356630822582e-13
APBB1,5.290296882180827e-17,0.4635557035196589,0.747,0.503,9.535231100442724e-13
KIAA0408,6.378374314327017e-17,0.496412997612163,0.528,0.27,1.1496381864143015e-12
RNF187,6.763277803493811e-17,0.42384515106505427,0.861,0.693,1.2190131913017246e-12
IGFBPL1,8.890278794634487e-17,0.4091813977120548,0.336,0.088,1.60238384994492e-12
FADS2,9.0159204248469e-17,0.46635339402120457,0.721,0.503,1.6250294973744055e-12
KIF5A,9.412496105355146e-17,0.49495467694508705,0.538,0.27,1.6965082980292115e-12
HSPA1A,9.70582610315155e-17,-0.2508740938445265,0.041,0.193,1.7493780968320355e-12
SNHG14,1.01043949026511e-16,0.4484765387550862,0.917,0.807,1.821216137253834e-12
LHX5-AS1,1.1042291294559328e-16,0.3073236819785906,0.199,0,1.990262582931373e-12
NDRG4,1.1761247363609514e-16,0.5210855717303153,0.685,0.456,2.1198472248169787e-12
MAST1,1.2555601803013385e-16,0.5687685699437961,0.525,0.264,2.2630216689751326e-12
CLIP3,1.261707764558108e-16,0.474806268753178,0.701,0.48,2.274102074839534e-12
LSM7,1.297847045545436e-16,0.424523084641131,0.865,0.72,2.339239514891094e-12
POU4F1,1.3005537977666525e-16,0.3524882283756237,0.24,0.024,2.3441181650946144e-12
NDUFV1,1.4283400993669627e-16,0.4008202288226993,0.699,0.416,2.5744401950990136e-12
ATP5MC1,1.5517033557148082e-16,0.3964857848464315,0.699,0.405,2.7967901283403705e-12
FOS,1.604943494179355e-16,0.3709002654895043,0.239,0.024,2.8927501539088697e-12
ATP6V0B,1.6169260457621334e-16,0.45273704405179793,0.837,0.639,2.914347504881669e-12
CYP51A1,1.8667630789979538e-16,0.45657981652637775,0.559,0.301,3.364653773585912e-12
RPS10,2.015337646190407e-16,-0.3863030856590255,0.977,0.99,3.63244457349359e-12
TSPAN13,2.045320277224034e-16,0.5148395541015449,0.492,0.24,3.686485267668599e-12
ATP6AP2,2.0778394103761705e-16,0.435333521936098,0.749,0.544,3.74509775326201e-12
HDGFL3,2.1398071317934196e-16,0.4660426539337943,0.658,0.416,3.8567883743444594e-12
TMEFF1,2.442909420824372e-16,0.4573406991416662,0.566,0.304,4.403099940093848e-12
MGST3,2.8835445107550863e-16,0.3858744310180915,0.915,0.78,5.197300626184967e-12
RPL21,3.468633900668841e-16,-0.3590311811075484,0.999,0.997,6.2518657425655184e-12
VSTM2A,3.4796095701553795e-16,0.4541297008594777,0.433,0.182,6.271648289248056e-12
DMD,3.510240973977223e-16,-0.5267679280884421,0.306,0.534,6.326858331496546e-12
ENHO,3.604653178375753e-16,0.41759203924957516,0.53,0.26,6.4970268887044574e-12
KIF1B,3.614023913073784e-16,0.46593793628542945,0.819,0.605,6.513916700924189e-12
NPDC1,3.9674402963477143e-16,0.4412512986899133,0.802,0.574,7.1509143901371204e-12
HOTAIRM1,4.661155450686622e-16,0.5063457618822094,0.633,0.402,8.401266584317567e-12
RNF157,4.761751680478268e-16,0.43931609378419945,0.41,0.159,8.58258122889403e-12
COX5A,5.163916308996116e-16,0.44433703730770224,0.843,0.716,9.3074427553346e-12
TUBB4A,5.70824051958352e-16,0.5157652487376605,0.482,0.226,1.0288532712497336e-11
GABBR2,5.825577202110012e-16,0.4176373231265531,0.415,0.162,1.0500020349083086e-11
VCP,5.907139325728686e-16,0.3871046042500359,0.745,0.49,1.0647027920693384e-11
ACAP3,6.574193471459493e-16,0.4737633035166356,0.554,0.307,1.184932631295859e-11
TMSB4X,6.757089521107938e-16,0.348085951711151,1,1,1.2178978152844947e-11
NFIB,6.765186973660909e-16,0.4829820352790113,0.614,0.351,1.2193573001326423e-11
ATCAY,7.440755819606912e-16,0.46136717846077296,0.45,0.189,1.3411218289259497e-11
RPL13,7.725332490782558e-16,-0.3916225689133106,1,1,1.3924139281386483e-11
TOP2B,7.858297747510588e-16,0.40561999350023115,0.733,0.497,1.4163795860113084e-11
MMP24,8.247651010724029e-16,0.40241665984056185,0.368,0.122,1.486556618172899e-11
ENO2,9.34415813315037e-16,0.5475871521891029,0.891,0.726,1.6841910619190226e-11
PDZD4,9.467777818119024e-16,0.4571246698097191,0.634,0.392,1.706472273937773e-11
