gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
ATF4;3,07208837289301e-15;0,430959400063179;0,901;0,822;5,52515093864809e-11
PUF60;3,91952520693175e-15;0,417173370697351;0,524;0,282;7,04926608466676e-11
KIF1B;4,24345443484165e-15;0,422847648679534;0,613;0,369;7,63185280106271e-11
VMP1;4,82869945513181e-15;0,434813897248597;0,425;0,185;8,68441597005456e-11
MAP1B;4,99716872937521e-15;0,481424160864440;0,750;0,574;8,98740795978131e-11
MYH7B;5,47927910909740e-15;0,533778330158260;0,342;0,111;9,85448347771168e-11
RBM3;5,79877844361600e-15;0,424236648040769;0,703;0,456;1,04291030308434e-10
COX7A2;6,14082029154592e-15;0,355143580850067;0,963;0,896;1,10442652943453e-10
ATP1A2;6,76054925193542e-15;0,448346146916338;0,522;0,275;1,21588478296059e-10
PKD1;7,06342993797809e-15;0,414882504663912;0,491;0,245;1,27035787434536e-10
COL5A2;7,83005836646802e-15;0,462756971656297;0,722;0,510;1,40823599720927e-10
RPS11;8,37830835540891e-15;-0,303299406623879;1,000;1,000;1,50683875772029e-10
SLC25A4;8,38916341409312e-15;0,441956471627239;0,529;0,285;1,50879104002465e-10
HOTAIRM1;8,52456588947331e-15;0,396743894743635;0,369;0,134;1,53314317522177e-10
PI4KA;8,79806883835971e-15;0,418779367036396;0,464;0,218;1,58233268057899e-10
CLSTN2;1,00102228213323e-14;0,512940439236153;0,455;0,228;1,80033857441662e-10
ATP2A1;1,01619901544497e-14;0,543301369707414;0,530;0,302;1,82763392927777e-10
AK1;1,15583972986353e-14;0,414571770239977;0,813;0,658;2,07877775415955e-10
PRDX2;1,26197360309640e-14;0,397848119337342;0,821;0,658;2,26965952516887e-10
MAP2;1,34748480926053e-14;0,376620371462126;0,437;0,185;2,42345142945506e-10
APCDD1;1,44239190247070e-14;0,441280366776520;0,322;0,101;2,59414183659355e-10
CHRNG;1,51863168564396e-14;0,441139774724088;0,415;0,178;2,73125908663067e-10
SKP1;1,52227376786068e-14;0,367274317917577;0,936;0,846;2,73780937149743e-10
LUC7L3;1,63366490654842e-14;0,454989035779588;0,623;0,413;2,93814633442733e-10
ANXA5;1,78897752056552e-14;0,419148592129755;0,583;0,322;3,21747607073709e-10
CAPN3;1,85672900971119e-14;0,458856645840498;0,319;0,101;3,33932712396558e-10
PMP22;2,45158936961858e-14;0,371877034197969;0,348;0,121;4,40918348125902e-10
ACTN2;2,51504849179989e-14;0,445508108450301;0,807;0,621;4,52331471250210e-10
EEF1B2;2,61633822509303e-14;-0,380409570191975;0,956;0,980;4,70548429782981e-10
CHL1;3,24179609344278e-14;0,394726308420782;0,320;0,101;5,83037027405685e-10
NES;3,27314374061332e-14;0,361195043201980;0,956;0,869;5,88674901749305e-10
SPTBN1;3,59093173473530e-14;0,382626329676411;0,873;0,742;6,45829072492143e-10
DAG1;3,80907768464542e-14;0,425449690846465;0,536;0,299;6,85062621583478e-10
MAP7D1;3,97835226204716e-14;0,414227166107189;0,547;0,312;7,15506654329181e-10
MATN2;4,28523386284839e-14;0,478516473683765;0,569;0,359;7,70699310233283e-10
SEPTIN2;4,61301603669232e-14;0,411571979858705;0,788;0,628;8,29650934199114e-10
NDUFB1;4,63403608264427e-14;0,367749646361619;0,874;0,748;8,33431389463572e-10
ITIH2;5,38292250609320e-14;0,336534670700126;0,184;0,010;9,68118612720863e-10
MYL4;5,96520990816099e-14;0,464564219319628;0,950;0,876;1,07284300198275e-09
UCHL1;6,14798411550572e-14;0,403721517221240;0,814;0,691;1,10571494317370e-09
SVIL;6,62433258894080e-14;0,460223704910775;0,614;0,406;1,19138621612100e-09
PPP3CB;7,10836817771589e-14;0,377515472643044;0,487;0,245;1,27844001676220e-09
OGT;7,34920527951981e-14;0,406851918063680;0,664;0,423;1,32175456952164e-09
PABPC1;7,81805016128294e-14;-0,446214926634691;0,876;0,956;1,40607632150674e-09
SLN;9,13286437902558e-14;0,624143373331155;0,544;0,332;1,64254565856775e-09
ARPP21;9,65487662912579e-14;0,454172980489902;0,564;0,339;1,73642956174827e-09
NR4A1;1,03980501954786e-13;0,391016454496939;0,225;0,037;1,87008932765682e-09
JAM3;1,16274479615336e-13;0,408861388207256;0,621;0,399;2,09119651588182e-09
SDC3;1,22562611010495e-13;0,432207275196971;0,536;0,312;2,20428855902376e-09
FABP5;1,22911957370090e-13;0,422687784416432;0,381;0,158;2,21057155330107e-09
PCBP4;1,26288678295568e-13;0,406957947484193;0,548;0,315;2,27130187914579e-09
FHL1;1,28177606234062e-13;0,445069083494575;0,607;0,386;2,30527424811960e-09
RMST;1,30038687660888e-13;-0,255857941852793;0,135;0,326;2,33874579758107e-09
LTBP4;1,36801729253066e-13;0,428781082879506;0,554;0,326;2,46037910061640e-09
FAU;1,45506771157397e-13;0,284211686692991;1,000;1,000;2,61693927926579e-09
PBXIP1;1,47907729514045e-13;0,379812496962305;0,440;0,208;2,66012051531011e-09
ANAPC5;1,53744426953122e-13;0,412326301434542;0,440;0,215;2,76509351875190e-09
NDUFB2;1,54431853951839e-13;0,374370575571304;0,885;0,782;2,77745689332382e-09
SFPQ;1,77575297285301e-13;0,393424202431560;0,845;0,698;3,19369172167614e-09
SPG7;1,82596846072750e-13;0,373486801505411;0,514;0,272;3,28400427661841e-09
COL4A2;1,85236592916522e-13;0,470952890258355;0,679;0,480;3,33148012360364e-09
MPRIP;2,28542460107209e-13;0,408636398427212;0,568;0,352;4,11033614502816e-09
AC132217.1;2,28678421914288e-13;-0,460583974104995;0,481;0,654;4,11278141812847e-09
ATP5MC3;2,89120024769974e-13;0,349526888990686;0,899;0,839;5,19982364548797e-09
SLIT1;2,92710415259799e-13;0,354264903457532;0,297;0,091;5,26439681844748e-09
ARGLU1;4,37907476110688e-13;0,414787985582941;0,651;0,446;7,87576595785073e-09
DDR1;4,55245270142710e-13;0,408125237965010;0,543;0,309;8,18758618351664e-09
MXRA7;4,95285019597326e-13;0,370064798635245;0,561;0,326;8,90770107745791e-09
NORAD;4,97887950439901e-13;0,392636714330051;0,767;0,591;8,95451478866162e-09
MYBPH;5,36561666935469e-13;0,456054024820044;0,972;0,906;9,65006157983441e-09
DCX;5,37453031804992e-13;0,364755234315205;0,488;0,255;9,66609277701278e-09
GLUD1;5,56618292141933e-13;0,392173833273424;0,393;0,178;1,00107799841727e-08
FXYD6;6,22636419129365e-13;0,411127079850588;0,638;0,433;1,11981159980416e-08
ZYX;7,01375760518486e-13;0,396344461246868;0,588;0,372;1,26142430529250e-08
HECTD4;7,49743561174806e-13;0,408321821669475;0,412;0,195;1,34841379477289e-08
SUN1;8,17973237519158e-13;0,366034270067013;0,437;0,208;1,47112486767821e-08
ELN;8,58461454304195e-13;0,411225729038010;0,567;0,332;1,54394292556609e-08
HSPB3;8,72853817731038e-13;0,462281073288466;0,665;0,450;1,56982759118927e-08
MICOS10;8,97461855568320e-13;0,383717214447396;0,746;0,570;1,61408514723962e-08
IL32;9,38326999943533e-13;0,431627101305639;0,433;0,218;1,68758110939844e-08
HLA-A;9,68844214177426e-13;0,443124173059573;0,431;0,211;1,74246631919810e-08
ADD1;1,17543689061727e-12;0,409396930387133;0,672;0,493;2,11402324777516e-08
CHRNA1;1,20355909316026e-12;0,440492384523180;0,552;0,332;2,16460102904873e-08
STK25;1,50126662275724e-12;0,410145061355592;0,720;0,544;2,70002802102890e-08
PPP2R1A;1,50898464013393e-12;0,370022341757702;0,833;0,715;2,71390887528088e-08
RPS9;1,53858864221634e-12;-0,306133975148338;0,994;1,000;2,76715167302609e-08
COL18A1;1,81759310069858e-12;0,361973595497725;0,580;0,342;3,26894119160640e-08
RPS27L;1,82761981913619e-12;0,388422686949264;0,878;0,785;3,28697424471645e-08
PAM;1,86253739049425e-12;0,343163574718840;0,383;0,164;3,34977349680390e-08
SHC2;1,92225220827975e-12;0,392313554840614;0,413;0,201;3,45717059659114e-08
PNN;1,99801906389734e-12;0,402882325866384;0,452;0,238;3,59343728641936e-08
GOT1;2,24887356518541e-12;0,350381940052437;0,365;0,154;4,04459910698595e-08
MB;2,43664103685532e-12;0,318523048961023;0,228;0,047;4,38229890478430e-08
FTH1;2,48719056206192e-12;0,277976203025323;1,000;1,000;4,47321222586837e-08
MRLN;2,51970543905715e-12;0,469110213937891;0,586;0,399;4,53169023214428e-08
ENO3;2,59567611679008e-12;0,520062513207884;0,829;0,695;4,66832349604695e-08
DPYSL3;3,05322468233200e-12;0,397040751684309;0,704;0,544;5,49122459117410e-08
MT-CO1;3,14768499401907e-12;0,280736638756936;1,000;1,000;5,66111146174329e-08
RBFOX2;3,17057205764068e-12;0,402530991736661;0,795;0,644;5,70227384566677e-08
HSPA9;3,17692346293576e-12;0,370556694450213;0,553;0,329;5,71369684808997e-08
DYNC1H1;3,68074155149380e-12;0,421379099316069;0,669;0,497;6,61981368036160e-08
NFE2L1;3,87154893618559e-12;0,339435981702670;0,526;0,302;6,96298076172979e-08
PKM;3,91602118237355e-12;0,328064533986024;0,973;0,906;7,04296409649883e-08
CHODL;3,92931365268906e-12;0,355638691413962;0,332;0,128;7,06687060436128e-08
MYOG;3,97137292425645e-12;0,372792420337565;0,759;0,523;7,14251420427523e-08
NTRK2;4,05694773273636e-12;0,355585379977969;0,386;0,171;7,29642049732634e-08
SLC44A2;4,37645723469126e-12;0,386883714934774;0,524;0,309;7,87105833659223e-08
