gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
COL5A1,4.196252199606568e-21,0.41013567770038795,0.878,0.81,7.563324964570878e-17
REEP1,4.242396073727332e-21,0.35381152663270493,0.364,0.154,7.646494683286144e-17
CHRNA1,4.278481890448524e-21,0.4435311737173955,0.55,0.328,7.71153575934442e-17
KIF1A,4.6694473319816776e-21,0.310335360722971,0.372,0.151,8.416211871163775e-17
SEC61G,4.798395484107305e-21,0.31390110467616905,0.941,0.884,8.648628020555006e-17
SFPQ,5.553250918999084e-21,0.3754482184597592,0.846,0.718,1.000917945640395e-16
COX4I1,5.661296277264551e-21,0.3257881087983132,0.984,0.956,1.0203920410141627e-16
NDUFA3,6.889516535690235e-21,0.36701743636725914,0.921,0.838,1.241766460392808e-16
HSPB2,1.0531214766532559e-20,0.44540436069750444,0.588,0.37,1.8981461495198283e-16
LMO7,1.2359746946606019e-20,0.35507277828889844,0.395,0.175,2.227720789656269e-16
LINC00342,1.355956225176328e-20,0.40112498450807177,0.303,0.111,2.4439755002578134e-16
CAV3,1.5352282147560762e-20,0.4435186190452446,0.528,0.307,2.767095334276352e-16
MAP1B,1.6612402050664467e-20,0.44269534071047745,0.752,0.611,2.9942193456117634e-16
MPRIP,1.8641531140189862e-20,0.3715826945477263,0.57,0.348,3.3599495727078207e-16
TIA1,2.205769430125199e-20,0.3644470480540457,0.535,0.307,3.975678820857659e-16
RPS9,2.7658252605086174e-20,-0.29202036514137175,0.994,0.998,4.985123449540732e-16
SPG7,2.8946743468882424e-20,0.3420117952364342,0.517,0.285,5.217361042831368e-16
EWSR1,3.0250421516739334e-20,0.3905839275772083,0.585,0.366,5.452335974177097e-16
RTL8C,3.2769253755784453e-20,0.37855121855537943,0.857,0.803,5.90633029694259e-16
NDUFB1,3.365784201207925e-20,0.33255687272908574,0.876,0.775,6.066489444257164e-16
LINC01578,3.3662550464474725e-20,0.37336165664772025,0.545,0.326,6.067338095716924e-16
CAMTA1,3.620821360067699e-20,0.36168728624933616,0.472,0.246,6.52616841938602e-16
TIMM13,4.3202335664356483e-20,0.3670203627989497,0.844,0.715,7.786788980143612e-16
FABP7,4.8839347124763045e-20,0.45147240930341115,0.561,0.349,8.802803925767292e-16
STXBP1,5.3225796051139326e-20,0.3183270537359886,0.295,0.102,9.593417480257352e-16
PARP6,5.645718518118129e-20,0.3978644723820748,0.383,0.177,1.0175843057056115e-15
CORO6,5.958495082231672e-20,0.32205068512523805,0.26,0.079,1.0739591536214365e-15
LUC7L,6.26607482454477e-20,0.3779513124037931,0.491,0.269,1.1293973263759494e-15
CACNG1,6.716267170342485e-20,0.43410184292706444,0.407,0.202,1.2105399947825295e-15
DAG1,7.10793379543404e-20,0.3577101149289901,0.54,0.32,1.2811339872890314e-15
NDUFB2,7.891004883254307e-20,0.33965072516642425,0.886,0.775,1.4222747201577565e-15
ANAPC5,1.1931359710558366e-19,0.37825224708278526,0.436,0.228,2.15050827423104e-15
MICOS10,1.2604004619079585e-19,0.38235705540821996,0.747,0.595,2.2717457925429044e-15
FTH1,1.3687282942474225e-19,0.2717320757338042,1,0.998,2.4669958775515544e-15
MIR1-1HG,1.3888084088073862e-19,0.3168486676816455,0.252,0.074,2.5031882760344328e-15
MUSK,1.5901150907839912e-19,0.2748733207790345,0.23,0.059,2.866023439629066e-15
PXDN,1.6380216864667283e-19,0.39006148104941996,0.628,0.423,2.952370287687631e-15
FN1,1.6779537173523044e-19,0.5010689510841282,0.92,0.869,3.0243437801557936e-15
NSG1,2.1164302181661566e-19,0.30549819839927045,0.334,0.134,3.814653825222681e-15
GPM6B,2.1825952643926937e-19,0.3917566915281638,0.458,0.251,3.933909704541391e-15
KRT10,2.4924450987252435e-19,0.367479015893037,0.67,0.466,4.492383045942379e-15
STAC3,3.1829504688003396e-19,0.41486390450446553,0.487,0.284,5.736949924965732e-15
INA,3.299082273567241e-19,0.29208615164141005,0.32,0.125,5.946265889877595e-15
NFE2L1,3.493275671809758e-19,0.2948447650140287,0.53,0.295,6.2962800708699075e-15
UQCRFS1,4.4762781430393e-19,0.32949431925468775,0.657,0.436,8.068043725014034e-15
GOT1,4.689070846452184e-19,0.3290022474192627,0.36,0.159,8.451581293645417e-15
RIMKLB,4.847496082505141e-19,0.3476529273025193,0.357,0.159,8.737126939107266e-15
DCTN2,5.128475219347418e-19,0.3295615304101871,0.523,0.298,9.243563735351786e-15
RBM3,5.218096412896112e-19,0.3634703943488429,0.705,0.49,9.405096974603952e-15
FXYD6,5.638777530721261e-19,0.3765042601081474,0.641,0.446,1.0163332621372e-14
MIR503HG,5.691942510916305e-19,0.44271350835649115,0.626,0.43,1.0259157181675549e-14
GAP43,5.795044266238707e-19,0.3752427756066859,0.459,0.249,1.0444987785468646e-14
CHRNB1,5.951549675566434e-19,0.3569195279842268,0.387,0.185,1.0727073135240941e-14
TRIM55,6.162112467214308e-19,0.31553744757309904,0.395,0.18,1.1106591510907068e-14
NDRG2,7.022121297979338e-19,0.35374715939683654,0.346,0.151,1.2656671427477959e-14
SH3PXD2A,8.484417558026071e-19,0.39133034220499296,0.455,0.257,1.529231420658619e-14
HSPA8,9.486409873466177e-19,0.3021477627518596,0.985,0.962,1.7098305155935435e-14
C4orf54,9.51801291574783e-19,0.3013119800774991,0.289,0.103,1.715526647934389e-14
NDUFV3,1.0243030929621627e-18,0.33747494854241267,0.553,0.344,1.846203894755002e-14
MEF2C,1.1113414963987211e-18,0.4115796084454355,0.763,0.608,2.003081913109055e-14
UBB,1.2202366446524483e-18,0.2936492430480069,0.992,0.964,2.1993545283215727e-14
EIF4G1,1.2507771975554154e-18,0.32035077075120366,0.563,0.331,2.2544008208738807e-14
LTBP4,1.2577762091344833e-18,0.3711498468053861,0.55,0.339,2.2670158393439927e-14
MT-ND4L,1.3158866980229724e-18,-0.40168823144198773,0.45,0.674,2.3717541845166054e-14
CAPN6,1.3413849067758408e-18,0.44644201425201047,0.69,0.526,2.4177121559727756e-14
FYN,1.3788977021775502e-18,0.3258719745673813,0.463,0.246,2.4853252184048164e-14
PUF60,1.4810249378851476e-18,0.3433738854034746,0.526,0.316,2.66939934804419e-14
UQCRC2,1.4909956457941965e-18,0.33534039337421095,0.582,0.362,2.6873705519794598e-14
MIAT,1.603008377690571e-18,0.27966211350287984,0.242,0.07,2.889262299949485e-14
ACAP3,1.6478796482219152e-18,0.35900377553800333,0.385,0.184,2.97013827795518e-14
PEBP1,1.7304508814352394e-18,0.32608307105886714,0.809,0.661,3.1189646686988757e-14
TLE5,1.788716808926927e-18,0.3594243889207771,0.831,0.692,3.223983176409893e-14
MYOG,1.9042910888901226e-18,0.3739991817267152,0.757,0.562,3.432294258615557e-14
SGCA,1.9824606919664783e-18,0.3906960511238201,0.576,0.37,3.5731871512003803e-14
CAPN2,2.0050193582272688e-18,0.3444092948175004,0.483,0.266,3.613846891268829e-14
SYNGR2,2.0903369692752097e-18,0.3243715415809556,0.342,0.146,3.767623353421638e-14
HES6,2.15032616032129e-18,0.37995607678339405,0.512,0.303,3.875747871363093e-14
YWHAG,2.6944803568946703e-18,0.34976022058407097,0.686,0.5,4.856531395266954e-14
EVL,2.9709533688553595e-18,0.3711391128133702,0.711,0.548,5.3548463520249e-14
RAE1,2.9964883607165227e-18,0.3146927818637981,0.303,0.116,5.4008706213554607e-14
GABARAPL2,3.0213393572775407e-18,0.3617542957776225,0.728,0.577,5.4456620575570396e-14
HRAS,3.2792739553730346e-18,0.3405608229364989,0.44,0.23,5.910563377164358e-14
RBM5,3.561190842580363e-18,0.39239751208746554,0.604,0.418,6.418690374666847e-14
PPP1R14C,3.741141445172552e-18,0.30192368283105414,0.237,0.07,6.743033340779008e-14
CACNA1H,4.086224582625191e-18,0.33375538728427734,0.345,0.154,7.365011187723644e-14
RUFY3,4.190969400193036e-18,0.344067261852198,0.403,0.203,7.553803246907929e-14
DNAJB2,4.737686132859189e-18,0.32295937484790055,0.393,0.192,8.539205485865403e-14
SHC2,4.825635877790306e-18,0.3708354703109568,0.412,0.216,8.697726106129247e-14
COL6A2,4.99419513050738e-18,0.41131979254642026,0.911,0.856,9.001537303226503e-14
FBL,5.24165909379075e-18,-0.3424053083134727,0.415,0.639,9.447566350648448e-14
MAPK8IP3,5.314177658608792e-18,0.35020824910011517,0.419,0.215,9.578273811876486e-14
ELOB,5.323138274370239e-18,0.2909333498624489,0.956,0.933,9.594424425724919e-14
MGST3,5.512011714185084e-18,0.34006709427580195,0.761,0.608,9.934849913647195e-14
BEX3,7.196878830198995e-18,0.3163191974452122,0.932,0.872,1.2971654403550669e-13
UGP2,8.394376913534367e-18,0.3448710311123329,0.496,0.292,1.5130024948954342e-13
MATN2,8.668176631371055e-18,0.414516797049181,0.571,0.395,1.562352156038319e-13
GOLGA3,8.679865016087243e-18,0.3393560670912151,0.403,0.202,1.5644588704995647e-13
DCLK2,9.127155054489762e-18,0.34293696909625765,0.324,0.141,1.6450784270212346e-13
FAM3C,9.861897788662295e-18,0.3548506479382621,0.436,0.234,1.777508457428492e-13
SPP1,1.0043636475907605e-17,-0.3294704325302064,0.017,0.113,1.8102650384175868e-13
COL4A5,1.0427200685324444e-17,0.31687861309269716,0.302,0.12,1.8793986515228777e-13
COX6B1,1.0826844298901693e-17,0.3142541191863524,0.946,0.89,1.951430416434041e-13
SOX4,1.2489309928537564e-17,0.3005558880993152,0.519,0.292,2.2510732215196104e-13
CALM2,1.4386782182003764e-17,0.3321610629450653,0.866,0.775,2.5930736204843585e-13
HMGCS1,1.459733915140277e-17,0.4001005518327252,0.623,0.462,2.6310244086488354e-13
ATP5MC3,1.4753045823262935e-17,0.3075229892163476,0.899,0.862,2.659088979184911e-13
