gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
COL15A1,3.7505265378067464e-21,0.5931419424712667,0.437,0.148,6.745321978245433e-17
PHLDB1,6.316722410999453e-21,0.5653450800331792,0.552,0.262,1.1360625256182517e-16
FN1,7.449727181432855e-21,0.64701433279058,0.92,0.826,1.339833433580699e-16
LAMA2,7.510692429949055e-21,0.5272597021365166,0.444,0.154,1.3507980335263376e-16
RYR1,7.543886162620108e-21,0.6966600545964525,0.768,0.54,1.3567679263472263e-16
SRSF6,7.81376681178136e-21,0.5103006505439531,0.663,0.376,1.4053059610988778e-16
SRSF5,8.000108491366527e-21,0.5591775816701383,0.774,0.534,1.43881951217227e-16
SRPK3,1.1361210252829384e-20,0.6459822272505834,0.542,0.252,2.0433136639713647e-16
GOLGA8A,1.1704158590058817e-20,0.5812816745331785,0.639,0.352,2.1049929224220782e-16
TMSB4X,1.3000258839543496e-20,0.44205352586317126,1,0.993,2.338096552291898e-16
MALAT1,1.3887742250560236e-20,-0.5908198689474811,0.786,0.916,2.4977104437632585e-16
MT-CO2,1.933044680868416e-20,0.31837444762822287,1,1,3.476580858541846e-16
COX5B,2.0504459947497416e-20,0.4501192397082696,0.932,0.758,3.6877271215574103e-16
SELENOW,2.5632155089460982e-20,0.40933324478078603,0.999,0.993,4.609943092839557e-16
GPM6B,2.8121202636175924e-20,0.5374961681626527,0.455,0.168,5.057598294116239e-16
UQCRQ,3.61919311491632e-20,0.3948353207832844,0.992,0.966,6.509118817177001e-16
SRRM2,4.003165886127428e-20,0.49801228126277364,0.821,0.591,7.19969384620018e-16
TMEM259,4.012348665889072e-20,0.5237169733890121,0.623,0.339,7.216209075601496e-16
RTN4,4.9885532577822553e-20,0.4677778806750701,0.897,0.748,8.971913034121386e-16
KLHL41,7.67464486692112e-20,0.5606171805506042,0.929,0.765,1.3802848793157633e-15
NUMA1,1.2182348831103056e-19,0.5045575906967321,0.599,0.312,2.1909954372738844e-15
OAZ1,1.7498930497270102e-19,0.42496495520150224,0.967,0.876,3.147182649934028e-15
BCAN,3.4789196931500763e-19,0.5522785668830407,0.414,0.141,6.256837068130412e-15
TNNC2,3.561962868755675e-19,0.5601110930684006,0.999,0.966,6.4061902194570815e-15
TTN,4.201960676163477e-19,0.5779840976541961,0.963,0.826,7.557226276080014e-15
PDLIM3,4.581115331541953e-19,0.4999491768706237,0.592,0.302,8.239135923778203e-15
RTF2,6.049623639237162e-19,0.5131732701698781,0.57,0.292,1.0880248115168037e-14
SNHG9,7.064912206782314e-19,0.4739303798392308,0.565,0.282,1.2706244603897992e-14
SF3B1,8.699385119759254e-19,0.527170529764216,0.692,0.45,1.564584413788702e-14
TMA7,9.411093099339535e-19,0.3933989540366074,0.99,0.97,1.6925850939162153e-14
TNNT2,1.1474134308526528e-18,0.6556614850142215,0.96,0.872,2.0636230553884963e-14
DBI,1.2962597741402432e-18,0.5111400367732395,0.797,0.554,2.3313232037912273e-14
LRIG1,1.4078504784134154e-18,0.5166390171777292,0.577,0.315,2.5320190854265275e-14
NDUFA4,1.4666484582622439e-18,0.392298585319927,0.982,0.94,2.6377672521846455e-14
TTYH3,1.4672989440886461e-18,0.48148940640303284,0.634,0.352,2.63893715094343e-14
RPL26,1.5880989589347926e-18,-0.2835287560063682,1,1,2.856195977644225e-14
CAPN6,1.724563413828875e-18,0.5700904902044941,0.69,0.43,3.101627299771232e-14
ATP5F1B,1.907037336776837e-18,0.40714798344309777,0.952,0.862,3.429806650193141e-14
TPM3,2.1713339544502566e-18,0.5672013316957103,0.714,0.483,3.905144117078786e-14
EWSR1,2.6650778056671013e-18,0.4733398082727497,0.583,0.299,4.793142433492282e-14
SERF2,3.4285034820671167e-18,0.3483254244941172,0.999,0.997,6.166163512497709e-14
RPL5,3.587882194186712e-18,-0.28228361665918333,1,1,6.452806126244801e-14
WDR6,3.678075485823605e-18,0.48554164064863836,0.604,0.329,6.615018761253753e-14
TTYH1,4.343765303629229e-18,0.4922588956508133,0.409,0.141,7.812261898577169e-14
HINT1,4.715318717064429e-18,0.385154318920665,0.991,0.973,8.480500712640376e-14
UBB,5.702982411128609e-18,0.37931359563557443,0.992,0.943,1.0256813866414802e-13
SNRNP70,6.114303688169586e-18,0.5117768399591371,0.764,0.567,1.0996575183173e-13
ANK2,6.420294340857558e-18,0.43097413514878613,0.658,0.383,1.154689937203232e-13
GTF2I,8.528286616487846e-18,0.4313631187945792,0.89,0.775,1.533812347975339e-13
MACF1,8.951337517711308e-18,0.49158147780167905,0.784,0.574,1.6098980525603788e-13
NEAT1,9.364643057116134e-18,0.49946893028244677,0.394,0.131,1.6842310538223367e-13
PXDN,9.441083911461911e-18,0.48732489971521864,0.627,0.356,1.6979789414764248e-13
SLC1A3,1.0978318688002462e-17,0.5051998850617174,0.407,0.148,1.974450616037243e-13
PXN,1.149647783636583e-17,0.514569178946773,0.534,0.262,2.0676415388703945e-13
ANKRD10,1.2706530633871912e-17,0.4984392918129863,0.619,0.356,2.2852695345018633e-13
LAMB2,1.5091525396159357e-17,0.4604619404793122,0.54,0.268,2.7142108424992603e-13
ITGA7,1.6442107757089327e-17,0.5650379557697793,0.491,0.235,2.9571130801125156e-13
OCIAD1,1.7251083747931864e-17,0.44688557901341563,0.765,0.57,3.102607412065546e-13
MAP4,2.0893161089333356e-17,0.4361485127329253,0.712,0.47,3.757635021916604e-13
COL6A2,2.6255239468384067e-17,0.5169217438731848,0.912,0.792,4.722004818388875e-13
SRP14,3.0504599106090334e-17,0.3709775666778241,0.956,0.916,5.486252149230347e-13
MFAP4,4.927395764421996e-17,0.5690683895305781,0.595,0.346,8.861921282312959e-13
CSRP3,7.179113063740848e-17,0.5421147913220264,0.289,0.06,1.2911634845137917e-12
CACNB1,9.660585622631191e-17,0.5869187654336747,0.622,0.403,1.7374563242302198e-12
SCARB2,9.688652805020922e-17,0.41429507841171315,0.499,0.232,1.7425042069830128e-12
NDUFV1,1.0831631729104911e-16,0.40870034245604836,0.612,0.322,1.9480689664795183e-12
SUGP2,1.1279109238827524e-16,0.4640761308640371,0.557,0.299,2.02854779660313e-12
ARL6IP5,1.3124173523638823e-16,0.4452540617278139,0.452,0.195,2.3603826082264424e-12
LUM,1.4763543323909345e-16,0.455720024341437,0.717,0.44,2.6552232668050958e-12
SMARCD3,1.8412053537801386e-16,0.46029159324737834,0.637,0.403,3.3114078287735793e-12
PLCD3,1.8829350389864497e-16,0.3563003870825305,0.275,0.05,3.3864586676171296e-12
CKB,2.066366125719717e-16,0.4466943906339016,0.932,0.852,3.716359477106911e-12
MMP2,2.431097302891518e-16,0.45490633140895764,0.662,0.406,4.372328499250395e-12
COX7B,3.606341170846589e-16,0.38034727563753057,0.915,0.768,6.4860045957675905e-12
RPS19,3.6627861952593794e-16,-0.2659578526139601,1,1,6.5875209721739935e-12
RPL8,4.27957635458345e-16,-0.2676680810304548,1,1,7.696818073718335e-12
LINC01578,4.664077880276265e-16,0.4378763440973997,0.542,0.282,8.388344067676863e-12
ZFAND5,5.35131209898544e-16,0.4327335762171072,0.609,0.359,9.624334810025314e-12
ADGRG1,5.426121764475397e-16,0.4244690448983979,0.34,0.104,9.758879993409e-12
PABPN1,5.499810236455078e-16,0.4394552993622335,0.501,0.248,9.891408710264458e-12
LMNA,6.298996960111381e-16,0.42841614179490517,0.616,0.352,1.132874603276032e-11
COX17,6.697081492864688e-16,0.4370493409068301,0.674,0.413,1.2044701064917142e-11
LDB3,8.55678399042726e-16,0.5842823256352059,0.53,0.289,1.5389376006783427e-11
MAGED2,9.22678080925551e-16,0.37809211535536913,0.96,0.926,1.6594365285446036e-11
ATP5IF1,9.287815900198848e-16,0.382358540007387,0.859,0.664,1.670413689650763e-11
RPL23A,9.365579018501549e-16,-0.30337738517807145,1,1,1.6843993864775036e-11
SPON2,1.1356564247081836e-15,0.30465677594219354,0.185,0,2.0424780798376683e-11
UQCR11,1.1743307048186552e-15,0.3652801324055801,0.988,0.973,2.1120337726163514e-11
HNRNPDL,1.204652988416324e-15,0.4220618364758304,0.924,0.856,2.1665683996667588e-11
MARCKS,1.4343291929025574e-15,0.43069444869808726,0.919,0.795,2.5796410534352494e-11
LTBP3,1.4415676756680998e-15,0.4449905317168722,0.504,0.252,2.5926594646890775e-11
UBC,1.5037278053036877e-15,0.34426543454689984,0.988,0.96,2.704454457838682e-11
TOMM7,2.310596801403838e-15,0.35811308103690553,0.976,0.96,4.1556083473248023e-11
ATF4,3.0720883728930145e-15,0.4309594000631789,0.901,0.822,5.5251509386480866e-11
PUF60,3.919525206931753e-15,0.4171733706973507,0.524,0.282,7.049266084666758e-11
KIF1B,4.243454434841652e-15,0.4228476486795343,0.613,0.369,7.63185280106271e-11
VMP1,4.8286994551318114e-15,0.4348138972485971,0.425,0.185,8.684415970054563e-11
MAP1B,4.997168729375207e-15,0.48142416086444006,0.75,0.574,8.98740795978131e-11
MYH7B,5.479279109097403e-15,0.53377833015826,0.342,0.111,9.854483477711679e-11
RBM3,5.798778443615999e-15,0.42423664804076877,0.703,0.456,1.0429103030843374e-10
COX7A2,6.140820291545922e-15,0.35514358085006714,0.963,0.896,1.1044265294345341e-10
ATP1A2,6.760549251935423e-15,0.4483461469163382,0.522,0.275,1.2158847829605857e-10
PKD1,7.063429937978091e-15,0.4148825046639116,0.491,0.245,1.2703578743453595e-10
COL5A2,7.830058366468022e-15,0.46275697165629737,0.722,0.51,1.4082359972092738e-10
RPS11,8.378308355408907e-15,-0.30329940662387855,1,1,1.5068387577202918e-10
SLC25A4,8.389163414093119e-15,0.4419564716272389,0.529,0.285,1.5087910400246474e-10
HOTAIRM1,8.524565889473307e-15,0.39674389474363503,0.369,0.134,1.5331431752217742e-10
PI4KA,8.798068838359714e-15,0.41877936703639645,0.464,0.218,1.5823326805789944e-10
CLSTN2,1.0010222821332336e-14,0.5129404392361528,0.455,0.228,1.8003385744166207e-10
ATP2A1,1.0161990154449653e-14,0.5433013697074138,0.53,0.302,1.82763392927777e-10
AK1,1.1558397298635253e-14,0.41457177023997716,0.813,0.658,2.0787777541595503e-10
PRDX2,1.261973603096398e-14,0.397848119337342,0.821,0.658,2.2696595251688718e-10
MAP2,1.3474848092605296e-14,0.37662037146212624,0.437,0.185,2.4234514294550626e-10
APCDD1,1.4423919024706958e-14,0.4412803667765196,0.322,0.101,2.5941418365935464e-10
CHRNG,1.5186316856439625e-14,0.44113977472408794,0.415,0.178,2.7312590866306664e-10
SKP1,1.5222737678606796e-14,0.36727431791757703,0.936,0.846,2.7378093714974324e-10
LUC7L3,1.6336649065484196e-14,0.4549890357795885,0.623,0.413,2.9381463344273325e-10
ANXA5,1.7889775205655192e-14,0.41914859212975464,0.583,0.322,3.2174760707370864e-10
CAPN3,1.85672900971119e-14,0.45885664584049785,0.319,0.101,3.3393271239655754e-10
PMP22,2.451589369618581e-14,0.37187703419796864,0.348,0.121,4.409183481259018e-10
ACTN2,2.515048491799887e-14,0.4455081084503014,0.807,0.621,4.523314712502097e-10
EEF1B2,2.6163382250930276e-14,-0.3804095701919752,0.956,0.98,4.70548429782981e-10
CHL1,3.2417960934427846e-14,0.3947263084207821,0.32,0.101,5.830370274056848e-10
NES,3.273143740613317e-14,0.3611950432019797,0.956,0.869,5.88674901749305e-10
SPTBN1,3.590931734735298e-14,0.38262632967641075,0.873,0.742,6.458290724921433e-10
DAG1,3.809077684645417e-14,0.4254496908464653,0.536,0.299,6.850626215834782e-10
